InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority
103247,SKU_1033,White Mug,12,16-01-2025 17:00,66.1,16291,France,0.02,Bank Transfer,23.11,Electronics,In-store,Not Returned,UPS,London,Medium
103267,SKU_1714,White Mug,20,28-01-2020 10:00,23.94,74911,Sweden,0.01,Bank Transfer,28.39,Furniture,Online,Not Returned,Royal Mail,Berlin,Medium
103285,SKU_1249,Office Chair,35,19-03-2021 08:00,18.65,27098,Spain,0.01,paypall,8.57,Apparel,Online,Not Returned,Royal Mail,Berlin,Low
103293,SKU_1300,Blue Pen,40,31-07-2025 14:00,85.93,53349,Portugal,0.18,Credit Card,7.06,Accessories,Online,Not Returned,Royal Mail,Berlin,Low
103303,SKU_1479,Headphones,17,18-08-2025 18:00,68.07,16825,France,0.43,Credit Card,8.68,Stationery,Online,Not Returned,FedEx,London,Low
103317,SKU_1025,Wall Clock,37,12-01-2021 12:00,63.26,23276,United Kingdom,0.12,Credit Card,11.08,Accessories,In-store,Not Returned,UPS,Amsterdam,High
103321,SKU_1326,Wall Clock,2,16-09-2023 08:00,49.46,72457,United States,0.09,paypall,8.32,Apparel,Online,Returned,UPS,Amsterdam,Medium
103340,SKU_1112,T-shirt,15,25-01-2025 12:00,51.51,85232,Norway,0.42,Bank Transfer,16.39,Apparel,In-store,Not Returned,FedEx,Berlin,Low
103358,SKU_1878,Wall Clock,40,23-09-2020 21:00,88.63,46144,Sweden,0.15,Credit Card,7.09,Stationery,Online,Returned,UPS,Rome,Low
103376,SKU_1840,Notebook,46,15-08-2022 15:00,92.8,14461,Spain,0.21,paypall,11.94,Furniture,In-store,Not Returned,DHL,Paris,Medium
103400,SKU_1967,Notebook,2,17-02-2024 16:00,22.22,21238,United States,0.43,Bank Transfer,20.45,Furniture,In-store,Not Returned,FedEx,Rome,Low
103411,SKU_1600,Blue Pen,19,15-02-2025 03:00,68.81,76414,United States,0.06,paypall,18.94,Furniture,In-store,Not Returned,DHL,Amsterdam,Low
103413,SKU_1559,USB Cable,15,05-10-2023 19:00,57.74,53476,Australia,0.22,Credit Card,19.84,Accessories,Online,Not Returned,DHL,Amsterdam,Low
103420,SKU_1427,Notebook,40,26-10-2021 08:00,7.59,93682,Norway,0.14,paypall,27.39,Furniture,Online,Not Returned,UPS,Rome,Low
103435,SKU_1685,USB Cable,17,14-03-2021 21:00,15.87,,Italy,0.4,paypall,15.62,Furniture,Online,Returned,UPS,,High
103436,SKU_1950,Desk Lamp,37,31-07-2022 05:00,34.7,93124,Belgium,0.13,Bank Transfer,9.85,Apparel,In-store,Not Returned,UPS,Rome,Medium
103449,SKU_1971,Office Chair,42,27-05-2025 17:00,61.95,84035,Germany,0.46,Bank Transfer,5.41,Furniture,In-store,Not Returned,DHL,Rome,High
103468,SKU_1745,T-shirt,46,27-07-2023 05:00,65.33,40712,United Kingdom,0.37,paypall,17.59,Accessories,In-store,Not Returned,UPS,Berlin,Medium
103474,SKU_1796,Office Chair,5,05-01-2025 01:00,95.89,13836,Spain,0.14,Credit Card,23.54,Furniture,In-store,Not Returned,FedEx,Paris,High
103485,SKU_1659,Backpack,44,30-12-2024 13:00,85.09,96286,United States,0.25,paypall,7.94,Electronics,Online,Not Returned,UPS,Amsterdam,High
103487,SKU_1682,Backpack,32,18-07-2022 18:00,99.56,61490,Spain,0.17,Bank Transfer,24.31,Electronics,Online,Not Returned,UPS,Berlin,Medium
103498,SKU_1260,Desk Lamp,44,14-12-2023 22:00,84.82,63141,Portugal,0.5,Bank Transfer,21.48,Apparel,Online,Not Returned,Royal Mail,Rome,High
103514,SKU_1456,USB Cable,2,23-05-2023 10:00,33.31,44243,Italy,0.35,Credit Card,17.53,Furniture,In-store,Not Returned,FedEx,Paris,High
103515,SKU_1706,Wall Clock,3,09-01-2022 13:00,82.52,54850,Netherlands,0.38,Bank Transfer,13.36,Apparel,Online,Not Returned,Royal Mail,Berlin,Low
103532,SKU_1306,Blue Pen,20,05-10-2023 10:00,77,94165,Portugal,0.44,Bank Transfer,16.36,Apparel,In-store,Not Returned,UPS,Berlin,High
103543,SKU_1334,Blue Pen,36,16-07-2023 04:00,11.87,22790,Netherlands,0.43,paypall,19.06,Stationery,Online,Not Returned,DHL,Paris,High
103573,SKU_1989,Office Chair,42,08-09-2023 23:00,59.71,56621,United States,0.32,Credit Card,29.38,Electronics,Online,Returned,UPS,Amsterdam,Low
103590,SKU_1333,Headphones,23,18-05-2023 00:00,3.69,94637,Portugal,0.24,paypall,14.04,Electronics,In-store,Not Returned,FedEx,Paris,Low
103599,SKU_1937,Desk Lamp,47,20-02-2022 04:00,17.37,95547,Sweden,0.09,Bank Transfer,13.85,Apparel,In-store,Not Returned,Royal Mail,Berlin,High
103608,SKU_1165,Backpack,9,12-07-2023 01:00,40.85,50862,Sweden,0.47,paypall,13.32,Apparel,In-store,Not Returned,DHL,Berlin,Medium
103625,SKU_1180,T-shirt,36,30-06-2022 09:00,58.34,49557,Portugal,0.09,Bank Transfer,7.83,Electronics,In-store,Not Returned,DHL,London,Low
103626,SKU_1699,Headphones,49,15-01-2021 13:00,28.81,41006,Spain,0.14,Credit Card,21.97,Furniture,In-store,Not Returned,UPS,Rome,Low
103631,SKU_1815,Notebook,-19,06-05-2020 01:00,79.42,,Germany,0.46,Credit Card,,Accessories,In-store,Not Returned,Royal Mail,,Low
103654,SKU_1653,Blue Pen,47,06-07-2023 19:00,39.21,78128,Netherlands,0.1,Credit Card,8.64,Accessories,In-store,Not Returned,UPS,Paris,Medium
103657,SKU_1469,Backpack,-15,01-02-2022 16:00,23.05,,Germany,0.01,Credit Card,,Stationery,In-store,Not Returned,Royal Mail,,Low
103679,SKU_1768,USB Cable,-20,06-10-2021 02:00,73.21,,United Kingdom,0.04,paypall,,Electronics,Online,Not Returned,UPS,,Low
103681,SKU_1904,Backpack,4,08-01-2021 11:00,29.74,20025,Sweden,0.44,Bank Transfer,24.37,Apparel,In-store,Not Returned,DHL,Amsterdam,High
103687,SKU_1087,White Mug,19,30-06-2024 05:00,29.26,38383,United Kingdom,0.44,paypall,17.28,Furniture,In-store,Not Returned,FedEx,Rome,Medium
103696,SKU_1200,Backpack,24,22-07-2020 14:00,65.72,27381,United Kingdom,0.09,Bank Transfer,20.03,Electronics,Online,Not Returned,Royal Mail,Amsterdam,High
103729,SKU_1976,White Mug,49,16-11-2020 17:00,75.41,86020,United States,0.15,Credit Card,13.23,Stationery,In-store,Not Returned,Royal Mail,Rome,Medium
103743,SKU_1230,White Mug,46,11-12-2021 03:00,36.86,38017,France,0.36,Bank Transfer,13.37,Furniture,Online,Not Returned,UPS,Amsterdam,Medium
103754,SKU_1202,White Mug,23,12-05-2020 22:00,5.76,19358,Sweden,0.03,Credit Card,22.62,Stationery,In-store,Not Returned,Royal Mail,London,Medium
103771,SKU_1705,T-shirt,17,17-03-2021 00:00,96.37,36065,Netherlands,0.44,Bank Transfer,13.16,Furniture,Online,Not Returned,DHL,Amsterdam,Medium
103779,SKU_1470,Backpack,35,27-03-2025 06:00,19.43,61489,Spain,0.11,Bank Transfer,24.24,Furniture,Online,Not Returned,FedEx,Paris,Medium
103796,SKU_1209,T-shirt,31,17-02-2025 23:00,48.95,51656,Italy,0.42,Bank Transfer,24.52,Accessories,Online,Not Returned,DHL,Amsterdam,Medium
103809,SKU_1219,Desk Lamp,29,04-10-2024 00:00,27.69,62801,United Kingdom,0.03,Bank Transfer,11.21,Electronics,Online,Not Returned,UPS,Rome,High
103825,SKU_1760,Notebook,43,11-01-2023 21:00,82.55,37817,Belgium,0.44,paypall,12.32,Furniture,In-store,Not Returned,FedEx,London,High
103841,SKU_1013,USB Cable,31,16-02-2023 21:00,96.4,75763,France,0.29,Bank Transfer,9.66,Stationery,In-store,Not Returned,DHL,Rome,Medium
103846,SKU_1583,Wall Clock,20,14-10-2023 13:00,52.12,39623,Norway,0.08,Credit Card,13.84,Apparel,Online,Not Returned,UPS,London,Medium
103849,SKU_1169,Backpack,1,07-08-2020 19:00,93.04,18425,Spain,0.44,Credit Card,20.99,Electronics,In-store,Not Returned,Royal Mail,Paris,Low
103857,SKU_1955,Headphones,39,03-06-2023 11:00,64.54,46612,Germany,0.02,Bank Transfer,28.36,Stationery,In-store,Not Returned,UPS,Berlin,Low
103877,SKU_1208,Backpack,16,23-06-2023 20:00,40.45,30124,Italy,0.48,Bank Transfer,11.11,Stationery,In-store,Returned,Royal Mail,Paris,Low
103879,SKU_1111,White Mug,12,16-02-2023 01:00,55.23,36621,United Kingdom,0.03,paypall,5.89,Stationery,Online,Not Returned,Royal Mail,Berlin,High
103881,SKU_1013,White Mug,27,21-02-2022 17:00,72.61,58333,Portugal,0.21,Bank Transfer,26.96,Apparel,In-store,Not Returned,Royal Mail,Paris,Medium
103889,SKU_1869,Notebook,5,31-12-2021 08:00,98.88,16931,Spain,0.34,Bank Transfer,18.76,Accessories,Online,Not Returned,UPS,Rome,High
103917,SKU_1272,Notebook,22,28-03-2025 12:00,70.72,43164,Belgium,0.42,paypall,23.78,Stationery,Online,Not Returned,UPS,London,High
103969,SKU_1786,Backpack,13,13-10-2020 17:00,38.2,44834,United Kingdom,0.23,paypall,12.08,Apparel,In-store,Not Returned,Royal Mail,Rome,Low
103991,SKU_1988,Backpack,3,08-04-2023 14:00,82.49,79730,Belgium,0.29,paypall,5.01,Electronics,Online,Not Returned,UPS,London,Low
104000,SKU_1243,USB Cable,35,27-01-2020 01:00,86.02,,Spain,0.26,Credit Card,10.64,Apparel,Online,Not Returned,FedEx,,Low
104011,SKU_1986,Office Chair,45,11-12-2020 07:00,90.31,64478,Italy,0.38,Credit Card,5.61,Stationery,Online,Not Returned,DHL,Amsterdam,High
104014,SKU_1118,Desk Lamp,16,19-01-2020 12:00,46.69,10690,United States,0.07,Credit Card,27.86,Accessories,In-store,Not Returned,FedEx,Paris,High
104015,SKU_1553,Wireless Mouse,31,15-05-2023 05:00,75.9,29833,Netherlands,0.06,Bank Transfer,21.42,Stationery,In-store,Not Returned,FedEx,Amsterdam,Medium
104055,SKU_1509,T-shirt,8,11-03-2021 15:00,68.24,79891,Sweden,0.47,Credit Card,15.99,Stationery,In-store,Not Returned,DHL,Berlin,Medium
104090,SKU_1343,Wireless Mouse,19,11-12-2021 00:00,31.32,95920,Italy,0.26,paypall,6.25,Furniture,Online,Not Returned,UPS,London,Medium
104122,SKU_1339,White Mug,9,28-04-2023 07:00,64.73,40351,Portugal,0.23,Credit Card,21.25,Apparel,Online,Returned,Royal Mail,London,High
104136,SKU_1525,Notebook,5,17-12-2020 01:00,79.97,21910,Belgium,0.28,Credit Card,19.58,Apparel,In-store,Not Returned,UPS,Paris,High
104138,SKU_1436,Wireless Mouse,30,10-08-2020 20:00,61.76,,Spain,0.15,Credit Card,29.67,Stationery,Online,Not Returned,Royal Mail,Amsterdam,Medium
104170,SKU_1764,Notebook,11,14-10-2024 19:00,81.93,88581,Norway,0.18,paypall,25.79,Stationery,In-store,Not Returned,Royal Mail,Berlin,Medium
104200,SKU_1966,Desk Lamp,21,19-01-2024 01:00,61.38,84421,Sweden,0.1,paypall,6.55,Apparel,In-store,Not Returned,FedEx,London,Low
104235,SKU_1381,White Mug,43,25-06-2025 03:00,78.56,,Belgium,0.01,Credit Card,8.56,Electronics,Online,Not Returned,Royal Mail,Amsterdam,High
104258,SKU_1614,Notebook,29,12-03-2024 05:00,6.89,44551,France,0.41,Bank Transfer,22.53,Electronics,In-store,Not Returned,FedEx,Paris,Medium
104263,SKU_1231,Desk Lamp,38,08-03-2020 20:00,79.57,67710,Netherlands,0.39,Bank Transfer,26.47,Apparel,Online,Not Returned,UPS,Berlin,Low
104302,SKU_1050,Wireless Mouse,8,16-03-2025 15:00,74.88,98832,Netherlands,0.05,paypall,23.53,Furniture,Online,Not Returned,DHL,Berlin,High
104321,SKU_1270,Notebook,6,11-09-2022 09:00,47.71,23348,United Kingdom,0.11,Credit Card,9.91,Accessories,Online,Not Returned,Royal Mail,Paris,Low
104329,SKU_1859,Wireless Mouse,15,02-02-2022 00:00,4.05,61903,Australia,0.16,Bank Transfer,14.11,Apparel,Online,Not Returned,Royal Mail,Berlin,Low
104331,SKU_1228,Desk Lamp,19,29-04-2021 00:00,43.47,28783,Norway,0.23,Credit Card,14.66,Accessories,In-store,Returned,DHL,Paris,Low
104349,SKU_1459,Notebook,4,20-01-2025 11:00,93.61,28651,France,0.32,Bank Transfer,11.36,Apparel,Online,Not Returned,UPS,Rome,High
104369,SKU_1977,White Mug,40,23-12-2021 06:00,53.71,22908,United Kingdom,0.17,Credit Card,19.33,Electronics,In-store,Returned,Royal Mail,Amsterdam,Medium
104400,SKU_1768,T-shirt,9,06-08-2025 07:00,66.03,42618,Sweden,0.12,paypall,9.55,Furniture,In-store,Returned,Royal Mail,Rome,Low
104412,SKU_1411,Desk Lamp,45,14-08-2025 06:00,15.2,17585,Belgium,0.26,Credit Card,5.26,Apparel,In-store,Not Returned,FedEx,Rome,Medium
104428,SKU_1505,T-shirt,23,25-11-2024 04:00,35.97,33830,United States,0.17,paypall,11.45,Apparel,In-store,Not Returned,UPS,Rome,High
104430,SKU_1191,Wall Clock,33,14-03-2025 10:00,79.44,58511,Portugal,0.3,Credit Card,10.13,Accessories,In-store,Not Returned,Royal Mail,Berlin,Low
104433,SKU_1106,Headphones,3,03-05-2024 21:00,80.56,75520,Portugal,0.38,Bank Transfer,10.77,Electronics,In-store,Returned,FedEx,Paris,Medium
104476,SKU_1244,USB Cable,18,23-02-2023 08:00,47.22,81251,United Kingdom,0.21,paypall,6.29,Apparel,In-store,Not Returned,UPS,Amsterdam,High
104486,SKU_1053,Desk Lamp,39,02-01-2023 02:00,26.03,26183,Belgium,0.44,Bank Transfer,20.2,Electronics,In-store,Not Returned,FedEx,Berlin,Medium
104487,SKU_1930,White Mug,46,27-09-2022 09:00,71.89,51559,Belgium,0.33,Bank Transfer,19.69,Apparel,In-store,Not Returned,FedEx,Rome,High
104507,SKU_1825,Notebook,6,27-05-2021 13:00,94.98,,United Kingdom,0.02,paypall,19.27,Accessories,Online,Not Returned,FedEx,Amsterdam,Low
104509,SKU_1389,Wireless Mouse,49,06-04-2025 21:00,45.06,88175,Portugal,0.26,Credit Card,18.96,Furniture,In-store,Not Returned,UPS,London,Low
104516,SKU_1371,Blue Pen,5,22-06-2025 08:00,26.72,68105,Spain,0.07,paypall,23.41,Accessories,Online,Not Returned,FedEx,Amsterdam,High
104521,SKU_1780,Desk Lamp,36,07-03-2022 08:00,74.18,16675,Netherlands,0.31,paypall,8.88,Furniture,In-store,Not Returned,UPS,Amsterdam,Low
104522,SKU_1288,Desk Lamp,16,04-04-2022 08:00,64.44,65172,Belgium,0.01,paypall,24.68,Accessories,Online,Not Returned,UPS,Rome,Medium
104554,SKU_1170,T-shirt,7,15-08-2023 01:00,99.43,15938,Portugal,0.22,paypall,10.4,Stationery,Online,Returned,UPS,Amsterdam,Medium
104570,SKU_1281,Blue Pen,33,25-01-2025 01:00,31.32,75293,Sweden,0.18,Bank Transfer,9.62,Accessories,Online,Not Returned,Royal Mail,Berlin,Medium
104576,SKU_1016,Notebook,28,04-07-2021 19:00,83.95,22598,Australia,0.3,Bank Transfer,29.37,Electronics,Online,Returned,FedEx,Berlin,Medium
104616,SKU_1770,Office Chair,46,15-01-2024 10:00,8.99,99119,United States,0.18,Bank Transfer,14.85,Apparel,In-store,Not Returned,UPS,Amsterdam,Low
104626,SKU_1235,Headphones,16,26-04-2024 13:00,93,11112,France,0.14,Credit Card,29.28,Electronics,Online,Not Returned,FedEx,Amsterdam,Medium
104642,SKU_1726,Desk Lamp,24,20-02-2022 15:00,40.86,45351,Sweden,0.15,Credit Card,18.5,Furniture,Online,Returned,DHL,Amsterdam,Medium
104646,SKU_1226,Wall Clock,35,14-09-2021 17:00,7,36845,Italy,0.13,Credit Card,26.5,Stationery,In-store,Not Returned,FedEx,Berlin,High
104655,SKU_1538,Office Chair,15,10-10-2024 08:00,25.97,30787,United States,0.2,Credit Card,12.71,Accessories,Online,Not Returned,DHL,Amsterdam,Medium
104677,SKU_1437,Notebook,18,29-04-2021 14:00,30.15,54140,United Kingdom,0.12,Credit Card,29.95,Stationery,Online,Not Returned,Royal Mail,London,High
104694,SKU_1848,Blue Pen,12,11-10-2021 06:00,90.37,39153,Portugal,0.45,Bank Transfer,6.55,Furniture,Online,Not Returned,FedEx,Paris,High
104695,SKU_1815,Wall Clock,42,17-06-2021 15:00,1.73,34829,Italy,0.19,paypall,16.65,Accessories,In-store,Not Returned,UPS,Paris,Medium
104696,SKU_1176,Blue Pen,21,01-06-2023 00:00,45.81,88315,Netherlands,0.31,paypall,17.53,Apparel,In-store,Not Returned,UPS,London,Medium
104708,SKU_1433,USB Cable,31,14-04-2023 23:00,77.36,36842,Belgium,0.04,paypall,18.94,Accessories,In-store,Not Returned,FedEx,Berlin,Medium
104718,SKU_1300,Desk Lamp,23,24-12-2023 08:00,9.96,,Australia,0.11,paypall,6.37,Stationery,In-store,Not Returned,FedEx,Berlin,Medium
104791,SKU_1051,Notebook,2,08-09-2021 23:00,58.62,40304,Spain,0.15,Bank Transfer,28.11,Stationery,Online,Not Returned,UPS,Amsterdam,Low
104809,SKU_1044,Blue Pen,43,08-02-2020 21:00,70.43,94581,Belgium,0.29,Bank Transfer,14.27,Furniture,In-store,Not Returned,Royal Mail,Amsterdam,Low
104825,SKU_1964,USB Cable,17,16-07-2024 12:00,77.93,45485,Australia,0.36,Bank Transfer,5.75,Apparel,Online,Not Returned,FedEx,Berlin,Medium
104838,SKU_1457,White Mug,11,20-07-2022 04:00,96.7,13125,Netherlands,0.1,Bank Transfer,14.45,Accessories,In-store,Not Returned,UPS,Berlin,Low
104847,SKU_1535,White Mug,32,10-11-2024 19:00,15.97,42995,Netherlands,0.04,Bank Transfer,15.04,Apparel,Online,Not Returned,FedEx,Amsterdam,Low
104889,SKU_1304,USB Cable,42,23-11-2021 17:00,71.67,,Sweden,0.34,Credit Card,24.64,Electronics,In-store,Not Returned,FedEx,Rome,Low
104902,SKU_1867,T-shirt,5,06-11-2023 07:00,98.01,70610,Belgium,0.15,paypall,19.6,Furniture,Online,Not Returned,FedEx,Rome,High
104902,SKU_1629,Notebook,20,24-03-2024 06:00,89.01,72402,Spain,0.25,Credit Card,10.72,Furniture,In-store,Not Returned,DHL,London,High
104922,SKU_1180,White Mug,10,07-05-2021 19:00,85.01,43897,Italy,0.38,Bank Transfer,9.94,Apparel,In-store,Not Returned,UPS,Amsterdam,High
104942,SKU_1109,T-shirt,43,08-04-2025 14:00,28.09,23802,United States,0.19,paypall,22.61,Electronics,In-store,Not Returned,FedEx,Berlin,High
104952,SKU_1111,T-shirt,14,03-10-2024 06:00,48.57,40641,France,0.45,Credit Card,29.15,Electronics,Online,Not Returned,DHL,Berlin,High
104957,SKU_1736,USB Cable,30,26-07-2025 15:00,10.62,29223,Norway,0.29,paypall,11.82,Furniture,Online,Not Returned,UPS,Amsterdam,Medium
104959,SKU_1440,USB Cable,1,14-02-2022 19:00,25.05,56268,Belgium,0.46,Credit Card,18.43,Stationery,Online,Not Returned,UPS,Berlin,Low
104983,SKU_1951,Desk Lamp,20,12-05-2022 23:00,33.23,35714,France,0.46,paypall,28.69,Furniture,Online,Not Returned,UPS,Paris,Low
104983,SKU_1406,USB Cable,13,03-08-2024 09:00,57.15,80625,Belgium,0.25,paypall,29.13,Accessories,Online,Returned,FedEx,Berlin,Low
104994,SKU_1227,T-shirt,-2,23-08-2020 05:00,66.63,,Belgium,0.13,Credit Card,,Apparel,In-store,Not Returned,UPS,,Medium
104999,SKU_1336,Blue Pen,29,09-03-2025 02:00,80.13,23733,Spain,0.31,Credit Card,10.03,Accessories,In-store,Not Returned,UPS,London,Low
105004,SKU_1873,Blue Pen,27,26-11-2021 14:00,53.53,66372,United States,0.11,paypall,7.84,Stationery,Online,Not Returned,UPS,Amsterdam,Low
105017,SKU_1829,Wireless Mouse,42,08-03-2023 18:00,30.07,28153,United States,0.48,Credit Card,13.8,Stationery,In-store,Not Returned,Royal Mail,London,Medium
105039,SKU_1645,Office Chair,37,11-08-2020 16:00,94.27,15439,United States,0.14,Credit Card,18.58,Furniture,Online,Not Returned,FedEx,Paris,Medium
105041,SKU_1621,Backpack,48,23-02-2025 06:00,24.25,47965,Netherlands,0.36,Bank Transfer,18.34,Stationery,Online,Not Returned,FedEx,Paris,High
105050,SKU_1740,Wall Clock,25,06-03-2023 01:00,67.45,25081,United Kingdom,0.06,paypall,9.52,Apparel,In-store,Not Returned,DHL,Rome,High
105149,SKU_1242,Office Chair,11,10-03-2023 19:00,72.69,65894,Norway,0.1,paypall,19.28,Accessories,In-store,Not Returned,DHL,Rome,Low
105156,SKU_1770,USB Cable,24,18-06-2024 02:00,60.2,31659,Belgium,0.48,paypall,6.97,Electronics,Online,Not Returned,UPS,Berlin,Medium
105191,SKU_1433,Headphones,13,27-05-2025 22:00,37.41,35115,Spain,0.2,Credit Card,15.9,Electronics,Online,Not Returned,FedEx,Paris,Medium
105209,SKU_1841,Desk Lamp,44,04-11-2020 17:00,9.08,50774,Portugal,0.44,Bank Transfer,29.92,Apparel,In-store,Not Returned,DHL,Berlin,Low
105220,SKU_1761,Headphones,44,07-05-2025 03:00,80.49,43582,Norway,0.09,Credit Card,15.6,Furniture,Online,Not Returned,UPS,London,High
105224,SKU_1620,Wall Clock,49,02-08-2025 17:00,78.29,17487,France,0.16,paypall,10.32,Furniture,In-store,Not Returned,Royal Mail,Amsterdam,High
105282,SKU_1521,Wall Clock,12,16-07-2024 13:00,2.31,10296,United Kingdom,0.32,Credit Card,9.17,Stationery,In-store,Not Returned,Royal Mail,Rome,Low
105287,SKU_1548,White Mug,23,21-02-2020 01:00,69.8,86142,Netherlands,0.2,paypall,19.76,Electronics,Online,Not Returned,Royal Mail,Rome,Low
105291,SKU_1440,Notebook,48,22-08-2024 19:00,69.28,84871,Italy,0.23,Credit Card,20.6,Electronics,Online,Not Returned,DHL,Rome,High
105293,SKU_1265,Headphones,3,20-03-2023 15:00,11.58,11557,Norway,0.15,paypall,18.17,Furniture,In-store,Not Returned,UPS,Amsterdam,High
105310,SKU_1107,Wall Clock,45,23-12-2021 20:00,93.84,72816,France,0.38,paypall,7.02,Apparel,Online,Not Returned,UPS,Berlin,Medium
105327,SKU_1434,T-shirt,1,31-12-2024 21:00,5.63,13097,Italy,0.26,paypall,14.17,Apparel,Online,Not Returned,Royal Mail,Rome,Low
105337,SKU_1163,Blue Pen,44,20-04-2024 18:00,39.67,50837,United States,0.26,Credit Card,6.97,Accessories,Online,Returned,Royal Mail,Berlin,Low
105351,SKU_1435,Blue Pen,25,15-04-2023 06:00,59.79,86973,Sweden,0.41,paypall,6.57,Accessories,In-store,Not Returned,Royal Mail,Rome,Low
105378,SKU_1824,Wall Clock,3,21-11-2023 02:00,51.1,62034,United States,0.44,Credit Card,13.5,Apparel,Online,Not Returned,DHL,Amsterdam,Medium
105397,SKU_1624,Blue Pen,9,27-05-2022 07:00,29.87,73524,Netherlands,0.27,paypall,17.23,Apparel,In-store,Not Returned,DHL,Amsterdam,High
105435,SKU_1196,Backpack,15,19-04-2021 11:00,74.9,76158,United States,0.13,paypall,26.69,Furniture,Online,Not Returned,UPS,Berlin,Medium
105468,SKU_1252,Wall Clock,6,15-07-2025 12:00,74.36,82415,Netherlands,0.4,paypall,12.89,Stationery,In-store,Not Returned,DHL,Amsterdam,High
105486,SKU_1890,Backpack,7,30-01-2020 20:00,20.99,29121,Netherlands,0.39,Bank Transfer,5.73,Electronics,In-store,Not Returned,Royal Mail,Rome,High
105492,SKU_1297,T-shirt,35,18-12-2023 05:00,11.39,,Germany,0.22,paypall,20.28,Electronics,Online,Not Returned,Royal Mail,,High
105520,SKU_1092,Backpack,36,18-08-2020 15:00,85.85,27504,United States,0.05,Credit Card,8.11,Electronics,Online,Not Returned,DHL,Amsterdam,Low
105566,SKU_1512,Desk Lamp,20,30-01-2023 04:00,61.04,25841,United States,0.22,Bank Transfer,16.37,Accessories,In-store,Not Returned,FedEx,Paris,Medium
105569,SKU_1346,White Mug,44,12-02-2020 08:00,70.44,24667,France,0.12,Credit Card,21.54,Apparel,In-store,Not Returned,DHL,Rome,Low
105577,SKU_1687,Office Chair,37,11-02-2021 17:00,86.8,54685,Australia,0.41,Bank Transfer,5.89,Stationery,Online,Not Returned,FedEx,London,Medium
105586,SKU_1034,Desk Lamp,24,26-11-2020 01:00,70.92,63820,United States,0.39,paypall,5.18,Apparel,Online,Not Returned,Royal Mail,Berlin,Medium
105589,SKU_1975,Wall Clock,24,09-09-2023 13:00,44.78,68391,France,0.28,Credit Card,26.67,Accessories,Online,Not Returned,FedEx,London,Medium
105618,SKU_1342,Headphones,1,05-01-2025 05:00,71.87,72201,Spain,0.08,paypall,12.73,Accessories,In-store,Returned,Royal Mail,London,Low
105623,SKU_1434,Office Chair,-17,24-09-2024 00:00,-34.21,,Sweden,0.19,Credit Card,,Stationery,Online,Not Returned,FedEx,,Low
105636,SKU_1541,Wireless Mouse,33,04-01-2021 05:00,49.44,14669,Germany,0.48,Bank Transfer,10.17,Accessories,In-store,Not Returned,Royal Mail,Rome,Medium
105639,SKU_1369,Wireless Mouse,4,09-02-2025 19:00,5.79,51110,United States,0.17,Credit Card,23.81,Furniture,Online,Not Returned,UPS,Paris,Low
105668,SKU_1350,Wireless Mouse,33,14-08-2020 05:00,32.29,16908,Germany,0.1,Credit Card,5.53,Electronics,Online,Returned,UPS,Rome,Medium
105695,SKU_1307,T-shirt,7,10-10-2020 07:00,42.69,34943,Norway,0.44,paypall,20.36,Apparel,In-store,Not Returned,Royal Mail,London,High
105699,SKU_1469,Desk Lamp,38,23-10-2023 00:00,90.41,16365,Belgium,0.41,Bank Transfer,17.7,Electronics,In-store,Not Returned,UPS,Paris,High
105704,SKU_1858,Wall Clock,15,01-08-2022 10:00,41.52,81720,Norway,0.3,Bank Transfer,16.39,Stationery,Online,Not Returned,FedEx,London,Medium
105720,SKU_1697,Wall Clock,31,08-10-2023 21:00,75.6,74464,Spain,0.41,paypall,23.52,Stationery,In-store,Not Returned,UPS,Berlin,High
105730,SKU_1485,Desk Lamp,20,15-11-2020 01:00,45,48339,Australia,0.07,Bank Transfer,22.37,Accessories,In-store,Not Returned,UPS,Paris,Medium
105750,SKU_1520,Headphones,4,08-09-2020 00:00,8.12,44013,Italy,0.24,paypall,29.05,Apparel,In-store,Not Returned,DHL,Paris,Medium
105817,SKU_1402,Notebook,35,22-02-2024 00:00,20.29,24452,France,0.36,paypall,8.07,Stationery,Online,Not Returned,UPS,London,Medium
105829,SKU_1161,Headphones,8,28-05-2021 17:00,75.2,96464,France,0.42,Bank Transfer,7.04,Apparel,In-store,Not Returned,UPS,Rome,Medium
105833,SKU_1143,Wireless Mouse,6,18-07-2022 02:00,72.61,52980,Norway,0.37,Bank Transfer,8.13,Stationery,In-store,Not Returned,UPS,Paris,Medium
105901,SKU_1219,Notebook,36,29-04-2020 14:00,21.2,12002,Belgium,0.18,Bank Transfer,27.43,Apparel,Online,Returned,FedEx,Amsterdam,Low
105914,SKU_1038,Wireless Mouse,35,27-08-2021 15:00,40.68,85392,United Kingdom,0.46,Credit Card,15.94,Stationery,Online,Not Returned,UPS,London,Low
106028,SKU_1475,Desk Lamp,39,11-11-2022 20:00,84.3,76503,Sweden,0.36,Bank Transfer,7.48,Furniture,In-store,Not Returned,Royal Mail,Paris,High
106037,SKU_1093,T-shirt,-24,12-07-2024 21:00,-76.25,,Netherlands,1.911126841,paypall,,Apparel,Online,Not Returned,Royal Mail,,High
